Gene_ID,Brain,Spinal,Kidney,Heart,Sk_muscle,Main_EO,Sach_EO,Hunter_EO
scaffold3220.g4,111.6,134.5,124.1,674.4,493,4606.6,5906.1,4855.9
scaffold3220.g5,24,6.5,0,3.8,0,0.9,0,0
scaffold3223.g1,4.6,3,7.4,25.2,8.2,73.2,49.8,22.4
scaffold3223.g2,151.1,214.4,422.5,409.8,236,577,435.3,501.9
scaffold3223.g3,778.9,1223.1,1136.3,534.1,1103.6,1332.9,1158,1464.3
scaffold3224.g1,370.3,49.7,327.1,129.7,35,40.6,81.7,59.7
scaffold324.g1,184.8,198.8,405.3,216.2,5184.6,483.9,431.1,738.1
scaffold324.g2,4.8,8.4,14.8,7.2,74.1,44.9,27.8,27
scaffold324.g3,160.6,96.6,160.9,88.2,351.5,2785.3,1556.1,2481.6
scaffold324.g4,374.9,280.6,261.1,480.1,373.9,1193.3,869.7,727
scaffold324.g5,678.5,715.9,54.8,58,191.4,17511.1,17826.3,26863.9
scaffold3240.g1,227.1,1005.1,502.7,108,1280,75.7,68.2,140.3
scaffold3240.g2,309.5,326.9,67,28.7,57.6,19.2,19.5,25.4
scaffold3240.g3,436.6,354,339.8,626.1,202.7,676.9,422.5,384.7
scaffold3242.g1,234.2,97.1,8.2,51.7,31.7,3047.1,2305.2,2012.2
scaffold3243.g1,104.9,12.7,654.1,18.3,23.5,2.6,19.5,89.1
scaffold3243.g2,1.1,18.8,0,226.8,457.2,347.2,386.9,374.5
scaffold3243.g3,353,283.8,264,233.5,102.7,98.1,95.6,84.3
scaffold3243.g4,381,555.4,1314,584.5,1067.5,538.9,556.3,585.9
scaffold3243.g5,266.6,454,403.6,1746.9,1544.9,953.3,1269.4,1564.2
scaffold3246.g1,454.6,304.2,378.3,1340.1,1161.6,471.4,644.6,713.8
scaffold3246.g2,7450.7,70.3,224.5,4.4,147.6,15,25.7,27.8
scaffold3246.g3,91.3,102.9,83.8,152.7,7.7,3.3,4.9,2.8
scaffold3246.g4,91.4,5.4,0,2.1,1.3,2,0.2,2.4
scaffold3247.g1,126.5,175,97.5,210.3,531.4,1927.9,1567,1415.4
scaffold3247.g2,201.3,274.5,92.9,364,846.6,3361.8,2195.5,2176.2
scaffold3247.g3,0,0,0,0,0,1.3,0,0
scaffold3251.g1,0,0,0,0,0,0,0,0
scaffold3253.g1,1.5,0.9,0,1.8,8.7,2.7,4.9,1
scaffold3253.g2,1902.4,173.4,1.4,14,15.4,1.7,1.6,0.9
scaffold3253.g3,1.7,2,0,0,0,0,0,0
scaffold3253.g4,598.4,674.4,550.5,524.3,465.2,347.6,390.9,466.8
